Compound ID (CID),MedDRA Concept ID,Frequency (%),Normalized Frequency,Term Level,Indication/Condition Name,Term ID,Term Name,ATC Code,Compound Name
CID100000158,C0020649,postmarketing,0.001,PT,Hypotension,10021097,Hypotension,G02AD02,PGE2
CID100000158,C0020649,postmarketing,0.001,PT,Hypotension,10005734,Blood pressure decreased,G02AD02,PGE2
CID100000247,C0019880,postmarketing,0.001,PT,Homocystinuria,10020365,Homocystinuria,A09AB02,betaine
CID100000247,C0019880,postmarketing,0.001,PT,Homocystinuria,10020365,Homocystinuria,A16AA06,betaine
CID100000444,C0015672,5%,0.05,PT,Fatigue,10016256,Fatigue,N06AX12,bupropion
CID100000444,C0015672,8.6%,0.086,PT,Fatigue,10016256,Fatigue,N06AX12,bupropion
CID100000444,C0038663,postmarketing,0.001,PT,Suicide attempt,10042464,Suicide attempt,N06AX12,bupropion
CID100000444,C0085631,0.3%,0.003,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,0.3%,0.003,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,0.3%,0.003,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,0.7%,0.007,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,0.7%,0.007,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,0.7%,0.007,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,1.6%,0.016,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,1.6%,0.016,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,1.6%,0.016,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,1.8%,0.018,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,1.8%,0.018,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,1.8%,0.018,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,2%,0.02,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,2%,0.02,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,2%,0.02,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,3%,0.03,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,3%,0.03,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,3%,0.03,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,3.5%,0.035,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,3.5%,0.035,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,3.5%,0.035,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,31.9%,0.319,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,31.9%,0.319,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,31.9%,0.319,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,9%,0.09,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,9%,0.09,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,9%,0.09,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,frequent,1.0,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,frequent,1.0,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,frequent,1.0,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,postmarketing,0.001,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,postmarketing,0.001,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,postmarketing,0.001,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,1%,0.01,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,1%,0.01,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,1%,0.01,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,22.2%,0.222,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,22.2%,0.222,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,22.2%,0.222,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0233477,1%,0.01,PT,Dysphoria,10013954,Dysphoria,N06AX12,bupropion
CID100000444,C0233477,2%,0.02,PT,Dysphoria,10013954,Dysphoria,N06AX12,bupropion
CID100000444,C0233477,infrequent,0.01,PT,Dysphoria,10013954,Dysphoria,N06AX12,bupropion
CID100000444,C0233477,postmarketing,0.001,PT,Dysphoria,10013954,Dysphoria,N06AX12,bupropion
CID100000450,C0018681,10.5%,0.105263,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,10.5%,0.105263,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,11.2%,0.11236,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,11.2%,0.11236,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,12.2%,0.121622,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,12.2%,0.121622,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,13%,0.13,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,13%,0.13,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,14.9%,0.148936,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,14.9%,0.148936,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,16%,0.16,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,16%,0.16,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,18%,0.18,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,18%,0.18,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,20.2%,0.202,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,20.2%,0.202,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,21.3%,0.212644,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,21.3%,0.212644,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,25.8%,0.257576,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,25.8%,0.257576,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,26.9%,0.269231,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,26.9%,0.269231,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,31.1%,0.31068,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,31.1%,0.31068,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,5%,0.05,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,5%,0.05,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,5.62%,0.0561798,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,5.62%,0.0561798,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,50%,0.5,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,50%,0.5,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,7.08%,0.0707965,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,7.08%,0.0707965,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,8.63%,0.0863309,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,8.63%,0.0863309,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,8.79%,0.0879121,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,8.79%,0.0879121,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,8.89%,0.0888889,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,8.89%,0.0888889,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,9%,0.09,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,9%,0.09,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,9.21%,0.0921053,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,9.21%,0.0921053,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,9.5%,0.095,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,9.5%,0.095,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,9.82%,0.0982143,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,9.82%,0.0982143,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,common,1.0,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,common,1.0,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,postmarketing,0.001,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,postmarketing,0.001,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,10%,0.1,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,10%,0.1,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,12.6%,0.126437,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,12.6%,0.126437,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,12.7%,0.126866,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,12.7%,0.126866,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,17.8%,0.178,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,17.8%,0.178,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,2.7%,0.027,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,2.7%,0.027,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,23.6%,0.235669,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,23.6%,0.235669,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,5.19%,0.0519481,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,5.19%,0.0519481,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,6%,0.06,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,6%,0.06,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,6.38%,0.0638298,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,6.38%,0.0638298,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,6.58%,0.0657895,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,6.58%,0.0657895,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,9.26%,0.0925926,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,9.26%,0.0925926,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0018681,9.33%,0.0933333,PT,Headache,10019211,Headache,G03CA03,estradiol
CID100000450,C0018681,9.33%,0.0933333,PT,Headache,10019211,Headache,L02AA02,estradiol
CID100000450,C0020517,0.575%,0.00574713,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,0.575%,0.00574713,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0020517,1%,0.01,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,1%,0.01,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0020517,2.25%,0.0224719,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,2.25%,0.0224719,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0020517,4%,0.04,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,4%,0.04,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0020517,4.44%,0.0444444,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,4.44%,0.0444444,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0020517,4.49%,0.0449438,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,4.49%,0.0449438,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0020517,postmarketing,0.001,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,postmarketing,0.001,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0020517,2.3%,0.0229885,PT,Hypersensitivity,10020751,Hypersensitivity,G03CA03,estradiol
CID100000450,C0020517,2.3%,0.0229885,PT,Hypersensitivity,10020751,Hypersensitivity,L02AA02,estradiol
CID100000450,C0021368,postmarketing,0.001,PT,Inflammation,10061218,Inflammation,G03CA03,estradiol
CID100000450,C0021368,postmarketing,0.001,PT,Inflammation,10061218,Inflammation,L02AA02,estradiol
CID100000450,C0031542,postmarketing,0.001,PT,Phlebitis,10034879,Phlebitis,G03CA03,estradiol
CID100000450,C0031542,postmarketing,0.001,PT,Phlebitis,10034879,Phlebitis,L02AA02,estradiol
CID100000450,C0033774,0.5%,0.005,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,0.5%,0.005,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,1.11%,0.0111111,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,1.11%,0.0111111,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,2.25%,0.0224719,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,2.25%,0.0224719,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,3%,0.03,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,3%,0.03,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,3.6%,0.0359712,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,3.6%,0.0359712,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,4.8%,0.048,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,4.8%,0.048,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,5.17%,0.0517241,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,5.17%,0.0517241,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,6%,0.06,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,6%,0.06,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,6.74%,0.0674157,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,6.74%,0.0674157,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,7.8%,0.0780488,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,7.8%,0.0780488,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,common,1.0,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,common,1.0,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,postmarketing,0.001,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,postmarketing,0.001,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,0%,0.0,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,0%,0.0,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,1.94%,0.0194175,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,1.94%,0.0194175,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,2.7%,0.027,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,2.7%,0.027,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0033774,4.6%,0.045977,PT,Pruritus,10037087,Pruritus,G03CA03,estradiol
CID100000450,C0033774,4.6%,0.045977,PT,Pruritus,10037087,Pruritus,L02AA02,estradiol
CID100000450,C0038454,postmarketing,0.001,PT,Cerebrovascular accident,10008190,Cerebrovascular accident,G03CA03,estradiol
CID100000450,C0038454,postmarketing,0.001,PT,Cerebrovascular accident,10008190,Cerebrovascular accident,L02AA02,estradiol
CID100000450,C0040046,postmarketing,0.001,PT,Thrombophlebitis,10043570,Thrombophlebitis,G03CA03,estradiol
CID100000450,C0040046,postmarketing,0.001,PT,Thrombophlebitis,10043570,Thrombophlebitis,L02AA02,estradiol
CID100000450,C0236075,postmarketing,0.001,PT,Menopausal symptoms,10027304,Menopausal symptoms,G03CA03,estradiol
CID100000450,C0236075,postmarketing,0.001,PT,Menopausal symptoms,10027304,Menopausal symptoms,L02AA02,estradiol
CID100000937,C0016382,55%,0.55,PT,Flushing,10016825,Flushing,C04AC01,niacin
CID100000937,C0016382,55%,0.55,PT,Flushing,10016825,Flushing,C10AD02,niacin
CID100000937,C0016382,63%,0.63,PT,Flushing,10016825,Flushing,C04AC01,niacin
CID100000937,C0016382,63%,0.63,PT,Flushing,10016825,Flushing,C10AD02,niacin
CID100000937,C0016382,69%,0.69,PT,Flushing,10016825,Flushing,C04AC01,niacin
CID100000937,C0016382,69%,0.69,PT,Flushing,10016825,Flushing,C10AD02,niacin
CID100000937,C0016382,postmarketing,0.001,PT,Flushing,10016825,Flushing,C04AC01,niacin
CID100000937,C0016382,postmarketing,0.001,PT,Flushing,10016825,Flushing,C10AD02,niacin
CID100000937,C0018099,postmarketing,0.001,PT,Gout,10018627,Gout,C04AC01,niacin
CID100000937,C0018099,postmarketing,0.001,PT,Gout,10018627,Gout,C10AD02,niacin
CID100000942,C0030252,4%,0.04,PT,Palpitations,10033557,Palpitations,N07BA01,nicotine
CID100001134,C0019163,2.01%,0.0200708,PT,Hepatitis B,10019731,Hepatitis B,J05AF11,thymidine
CID100001134,C0019163,4.23%,0.0422535,PT,Hepatitis B,10019731,Hepatitis B,J05AF11,thymidine
CID100001134,C0151905,3%,0.03,PT,Alanine aminotransferase increased,10001551,Alanine aminotransferase increased,J05AF11,thymidine
CID100001134,C0151905,3.19%,0.0318772,PT,Alanine aminotransferase increased,10001551,Alanine aminotransferase increased,J05AF11,thymidine
CID100001134,C0151905,3.64%,0.036385,PT,Alanine aminotransferase increased,10001551,Alanine aminotransferase increased,J05AF11,thymidine
CID100001301,C0018681,15%,0.15,PT,Headache,10019211,Headache,G02CC02,naproxen
CID100001301,C0018681,15%,0.15,PT,Headache,10019211,Headache,M01AE02,naproxen
CID100001301,C0018681,15%,0.15,PT,Headache,10019211,Headache,M02AA12,naproxen
CID100001301,C0018681,postmarketing,0.001,PT,Headache,10019211,Headache,G02CC02,naproxen
CID100001301,C0018681,postmarketing,0.001,PT,Headache,10019211,Headache,M01AE02,naproxen
CID100001301,C0018681,postmarketing,0.001,PT,Headache,10019211,Headache,M02AA12,naproxen
CID100001301,C0021368,postmarketing,0.001,PT,Inflammation,10061218,Inflammation,G02CC02,naproxen
CID100001301,C0021368,postmarketing,0.001,PT,Inflammation,10061218,Inflammation,M01AE02,naproxen
CID100001301,C0021368,postmarketing,0.001,PT,Inflammation,10061218,Inflammation,M02AA12,naproxen
CID100001301,C0030193,3-9%,0.09,PT,Pain,10033371,Pain,G02CC02,naproxen
CID100001301,C0030193,3-9%,0.09,PT,Pain,10033371,Pain,M01AE02,naproxen
CID100001301,C0030193,3-9%,0.09,PT,Pain,10033371,Pain,M02AA12,naproxen
CID100001301,C0041582,postmarketing,0.001,PT,Ulcer,10045285,Ulcer,G02CC02,naproxen
CID100001301,C0041582,postmarketing,0.001,PT,Ulcer,10045285,Ulcer,M01AE02,naproxen
CID100001301,C0041582,postmarketing,0.001,PT,Ulcer,10045285,Ulcer,M02AA12,naproxen
CID100001301,C0042384,postmarketing,0.001,PT,Vasculitis,10047115,Vasculitis,G02CC02,naproxen
CID100001301,C0042384,postmarketing,0.001,PT,Vasculitis,10047115,Vasculitis,M01AE02,naproxen
CID100001301,C0042384,postmarketing,0.001,PT,Vasculitis,10047115,Vasculitis,M02AA12,naproxen
CID100001546,C0027497,22%,0.22,PT,Nausea,10028813,Nausea,L01BB04,cladribine
CID100001546,C0027497,28%,0.28,PT,Nausea,10028813,Nausea,L01BB04,cladribine
CID100001546,C0027497,5-28%,0.28,PT,Nausea,10028813,Nausea,L01BB04,cladribine
CID100001546,C0027497,very common,1.0,PT,Nausea,10028813,Nausea,L01BB04,cladribine
CID100001690,C0876994,18-65%,0.65,PT,Cardiotoxicity,10048610,Cardiotoxicity,L01DB01,doxorubicin
CID100001690,C0876994,18-65%,0.65,PT,Cardiotoxicity,10048610,Cardiotoxicity,L01DB03,doxorubicin
CID100001690,C0494165,common,1.0,PT,Metastases to liver,10027457,Metastases to liver,L01DB01,doxorubicin
CID100001690,C0494165,common,1.0,PT,Metastases to liver,10027457,Metastases to liver,L01DB03,doxorubicin
CID100001690,C0020517,postmarketing,0.001,PT,Hypersensitivity,10020751,Hypersensitivity,L01DB01,doxorubicin
CID100001690,C0020517,postmarketing,0.001,PT,Hypersensitivity,10020751,Hypersensitivity,L01DB03,doxorubicin
CID100001805,C0027947,10.9%,0.108696,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,2.7%,0.027,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,21.6%,0.215686,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,28.4%,0.284314,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,32.3%,0.322727,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,4.1%,0.041,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,4.5%,0.045,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,61.1%,0.611429,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,65.7%,0.657143,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0027947,very common,1.0,PT,Neutropenia,10029354,Neutropenia,L01BC07,5-azacytidine
CID100001805,C0040034,28.4%,0.284314,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,3.2%,0.032,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,3.6%,0.036,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,34.3%,0.343137,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,45.7%,0.456522,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,58.3%,0.582857,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,65.5%,0.654545,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,69.7%,0.697143,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001805,C0040034,very common,1.0,PT,Thrombocytopenia,10043554,Thrombocytopenia,L01BC07,5-azacytidine
CID100001971,C0020517,postmarketing,0.001,PT,Hypersensitivity,10020751,Hypersensitivity,J05AF06,abacavir
CID100001972,C0027497,10%,0.1,PT,Nausea,10028813,Nausea,A01AB04,amphotericin
CID100001972,C0027497,10%,0.1,PT,Nausea,10028813,Nausea,A07AA07,amphotericin
CID100001972,C0027497,10%,0.1,PT,Nausea,10028813,Nausea,G01AA03,amphotericin
CID100001972,C0027497,10%,0.1,PT,Nausea,10028813,Nausea,J02AA01,amphotericin
CID100001972,C0027497,13%,0.13,PT,Nausea,10028813,Nausea,A01AB04,amphotericin
CID100001972,C0027497,13%,0.13,PT,Nausea,10028813,Nausea,A07AA07,amphotericin
CID100001972,C0027497,13%,0.13,PT,Nausea,10028813,Nausea,G01AA03,amphotericin
CID100001972,C0027497,13%,0.13,PT,Nausea,10028813,Nausea,J02AA01,amphotericin
CID100001972,C0027497,14%,0.14,PT,Nausea,10028813,Nausea,A01AB04,amphotericin
CID100001972,C0027497,14%,0.14,PT,Nausea,10028813,Nausea,A07AA07,amphotericin
CID100001972,C0027497,14%,0.14,PT,Nausea,10028813,Nausea,G01AA03,amphotericin
CID100001972,C0027497,14%,0.14,PT,Nausea,10028813,Nausea,J02AA01,amphotericin
CID100001972,C0027497,20%,0.2,PT,Nausea,10028813,Nausea,A01AB04,amphotericin
CID100001972,C0027497,20%,0.2,PT,Nausea,10028813,Nausea,A07AA07,amphotericin
CID100001972,C0027497,20%,0.2,PT,Nausea,10028813,Nausea,G01AA03,amphotericin
CID100001972,C0027497,20%,0.2,PT,Nausea,10028813,Nausea,J02AA01,amphotericin
CID100001972,C0027497,8%,0.08,PT,Nausea,10028813,Nausea,A01AB04,amphotericin
CID100001972,C0027497,8%,0.08,PT,Nausea,10028813,Nausea,A07AA07,amphotericin
CID100001972,C0027497,8%,0.08,PT,Nausea,10028813,Nausea,G01AA03,amphotericin
CID100001972,C0027497,8%,0.08,PT,Nausea,10028813,Nausea,J02AA01,amphotericin
CID100001972,C0027497,9%,0.09,PT,Nausea,10028813,Nausea,A01AB04,amphotericin
CID100001972,C0027497,9%,0.09,PT,Nausea,10028813,Nausea,A07AA07,amphotericin
CID100001972,C0027497,9%,0.09,PT,Nausea,10028813,Nausea,G01AA03,amphotericin
CID100001972,C0027497,9%,0.09,PT,Nausea,10028813,Nausea,J02AA01,amphotericin
CID100001972,C0042963,14%,0.14,PT,Vomiting,10047700,Vomiting,A01AB04,amphotericin
CID100001972,C0042963,14%,0.14,PT,Vomiting,10047700,Vomiting,A07AA07,amphotericin
CID100001972,C0042963,14%,0.14,PT,Vomiting,10047700,Vomiting,G01AA03,amphotericin
CID100001972,C0042963,14%,0.14,PT,Vomiting,10047700,Vomiting,J02AA01,amphotericin
CID100001972,C0042963,15%,0.15,PT,Vomiting,10047700,Vomiting,A01AB04,amphotericin
CID100001972,C0042963,15%,0.15,PT,Vomiting,10047700,Vomiting,A07AA07,amphotericin
CID100001972,C0042963,15%,0.15,PT,Vomiting,10047700,Vomiting,G01AA03,amphotericin
